portfolio_id,security,original_quantity,crossed_quantity,remaining_quantity,trade_direction
S-17147,CORT US,4000,0,4000,BUY
P-36182,CORT US,3800,0,3800,BUY
S-17147,CME US,-3800,0,-3800,SELL
P-36182,CME US,-800,0,-800,SELL
S-17147,SJM US,-2400,0,-2400,SELL
S-17147,WYNN US,-3800,0,-3800,SELL
P-61230,DKS US,-3059,-1200,-1859,SELL
S-17147,HALO US,5200,0,5200,BUY
S-17147,FLUT US,200,0,200,BUY
P-36182,FLUT US,16000,0,16000,BUY
S-17147,SAIA US,-600,0,-600,SELL
S-17147,KMX US,10000,0,10000,BUY
S-17147,EQIX US,200,0,200,BUY
S-17147,AXS US,8000,0,8000,BUY
S-17147,LKQ US,-6200,0,-6200,SELL
S-17147,SGI US,14200,0,14200,BUY
P-36182,SGI US,1200,0,1200,BUY
S-17147,WLK US,3400,0,3400,BUY
S-17147,AIZ US,10000,0,10000,BUY
S-17147,NRG US,600,0,600,BUY
S-17147,CBRE US,-6400,0,-6400,SELL
S-17147,QXO US,26600,0,26600,BUY
S-17147,EPAM US,3200,0,3200,BUY
S-17147,TMUS US,-9000,0,-9000,SELL
P-36182,TMUS US,-3200,0,-3200,SELL
S-17147,DPZ US,-1400,0,-1400,SELL
P-47227,DPZ US,-500,0,-500,SELL
P-36182,DPZ US,-400,0,-400,SELL
S-17147,TXRH US,-4000,0,-4000,SELL
S-17147,EXR US,-4400,0,-4400,SELL
P-36182,EXR US,-800,0,-800,SELL
S-17147,MPW US,56800,0,56800,BUY
P-47227,MPW US,43500,0,43500,BUY
P-36182,MPW US,21800,0,21800,BUY
S-17147,RF US,-16800,-3800,-13000,SELL
S-17147,MPWR US,2600,0,2600,BUY
S-17147,CUBE US,22400,0,22400,BUY
P-47227,CUBE US,5000,0,5000,BUY
S-17147,LVS US,-40800,-2000,-38800,SELL
S-17147,ACM US,-2800,0,-2800,SELL
S-17147,MOS US,3400,0,3400,BUY
S-17147,CPAY US,800,400,400,BUY
S-17147,EXLS US,6000,0,6000,BUY
S-17147,CE US,11200,0,11200,BUY
P-47227,CE US,5000,0,5000,BUY
S-17147,DXCM US,5200,0,5200,BUY
P-36182,DXCM US,3000,0,3000,BUY
S-17147,WMS US,-1400,0,-1400,SELL
S-17147,RBC US,-1200,0,-1200,SELL
S-17147,AMP US,-1200,0,-1200,SELL
S-17147,EXPE US,-4400,0,-4400,SELL
P-47227,EXPE US,-1000,0,-1000,SELL
S-17147,CROX US,3600,0,3600,BUY
P-36182,CROX US,1400,0,1400,BUY
S-17147,MA US,-9000,-200,-8800,SELL
S-17147,LDOS US,-800,0,-800,SELL
P-36182,LDOS US,-600,0,-600,SELL
S-17147,CMG US,-37000,0,-37000,SELL
S-17147,TDC US,-6400,0,-6400,SELL
S-17147,UAL US,-1200,0,-1200,SELL
S-17147,KBR US,6000,0,6000,BUY
P-36182,KBR US,2200,0,2200,BUY
S-17147,FTNT US,-2600,0,-2600,SELL
S-17147,SPR US,400,0,400,BUY
S-17147,FSLR US,800,0,800,BUY
P-47227,TNL US,3500,2600,900,BUY
S-17147,CELH US,-5000,-4000,-1000,SELL
S-17147,OC US,-1400,0,-1400,SELL
S-17147,META US,-5800,-600,-5200,SELL
S-17147,SMCI US,1800,0,1800,BUY
P-36182,SMCI US,4400,0,4400,BUY
P-47227,PODD US,-1000,-600,-400,SELL
S-17147,BR US,12800,1000,11800,BUY
S-17147,DAL US,4600,0,4600,BUY
S-17147,LULU US,-4400,0,-4400,SELL
S-17147,TSLA US,1200,0,1200,BUY
P-36182,TSLA US,800,0,800,BUY
S-17147,G US,-2600,-2400,-200,SELL
S-17147,MSCI US,-1200,0,-1200,SELL
P-36182,MSCI US,-200,0,-200,SELL
S-17147,PM US,-111100,0,-111100,SELL
P-36182,PM US,-2000,0,-2000,SELL
S-17147,KDP US,-12400,0,-12400,SELL
S-17147,AWK US,63200,1500,61700,BUY
S-17147,V US,6800,0,6800,BUY
P-36182,V US,400,0,400,BUY
S-17147,WDAY US,19000,0,19000,BUY
S-17147,ZG US,3800,0,3800,BUY
S-17147,VRSK US,-10600,0,-10600,SELL
P-36182,VRSK US,-600,0,-600,SELL
S-17147,CHTR US,-2200,0,-2200,SELL
P-47227,CHTR US,-1000,0,-1000,SELL
P-36182,STWD US,-5000,-2200,-2800,SELL
S-17147,NOW US,-1000,0,-1000,SELL
S-17147,ANET US,-20600,-5800,-14800,SELL
S-17147,ETSY US,-2000,0,-2000,SELL
S-17147,HUBS US,3200,500,2700,BUY
P-36182,GM US,-11000,-2400,-8600,SELL
S-17147,DG US,-4600,0,-4600,SELL
P-47227,DG US,-2000,0,-2000,SELL
P-36182,DG US,-1000,0,-1000,SELL
S-17147,LPLA US,-600,0,-600,SELL
P-47227,LPLA US,-1000,0,-1000,SELL
P-36182,LPLA US,-600,0,-600,SELL
S-17147,LEA US,-1600,0,-1600,SELL
S-17147,CBOE US,-3600,0,-3600,SELL
P-36182,CBOE US,-600,0,-600,SELL
S-17147,LYB US,-8200,0,-8200,SELL
S-17147,HCA US,6400,0,6400,BUY
S-17147,BAH US,-1600,0,-1600,SELL
S-17147,STAG US,16600,0,16600,BUY
P-36182,STAG US,2800,0,2800,BUY
S-17147,PANW US,6400,0,6400,BUY
S-17147,XYZ US,-6400,-1400,-5000,SELL
S-17147,FBIN US,-3400,0,-3400,SELL
S-17147,GWRE US,-400,0,-400,SELL
S-17147,FRPT US,-3400,0,-3400,SELL
S-17147,XYL US,1200,0,1200,BUY
S-17147,NTRA US,1600,600,1000,BUY
S-17147,ARMK US,-5000,0,-5000,SELL
S-17147,BRX US,-6400,0,-6400,SELL
P-36182,BRX US,-6800,0,-6800,SELL
S-17147,CDW US,6200,1500,4700,BUY
P-36182,CDW US,1200,0,1200,BUY
S-17147,RBLX US,-21400,0,-21400,SELL
S-17147,ENPH US,36600,0,36600,BUY
P-47227,ENPH US,5500,0,5500,BUY
P-36182,ENPH US,2800,0,2800,BUY
S-17147,NET US,-600,0,-600,SELL
S-17147,POST US,-600,0,-600,SELL
S-17147,ABNB US,12000,0,12000,BUY
S-17147,MUSA US,-1000,0,-1000,SELL
S-17147,INSP US,-1200,0,-1200,SELL
S-17147,MDB US,5000,1000,4000,BUY
P-36182,MDB US,1400,0,1400,BUY
S-17147,ABBV US,-15800,-600,-15200,SELL
S-17147,CPRI US,-12600,0,-12600,SELL
S-17147,UBER US,-35800,-1200,-34600,SELL
S-17147,TRU US,-2000,-1200,-800,SELL
P-47227,TRU US,-2500,0,-2500,SELL
S-17147,IR US,800,0,800,BUY
P-36182,IR US,4600,0,4600,BUY
S-17147,IQV US,-1600,0,-1600,SELL
S-17147,NWSA US,-12200,0,-12200,SELL
S-17147,NWS US,-3800,0,-3800,SELL
S-17147,ZTS US,-3400,0,-3400,SELL
P-93050,ZTS US,-457959,0,-457959,SELL
P-36182,ZTS US,-800,0,-800,SELL
S-17147,SAIC US,-400,0,-400,SELL
P-47227,SAIC US,-2000,0,-2000,SELL
S-17147,LW US,-3200,0,-3200,SELL
S-17147,DUOL US,-400,0,-400,SELL
P-36182,DUOL US,-400,0,-400,SELL
S-17147,VVV US,-15200,0,-15200,SELL
P-47227,VVV US,-14500,0,-14500,SELL
P-36182,VVV US,-19800,0,-19800,SELL
S-17147,AMH US,-7100,-3000,-4100,SELL
S-17147,MRNA US,-1800,0,-1800,SELL
S-17147,ALLE US,-1000,0,-1000,SELL
P-36182,ALLE US,-600,0,-600,SELL
S-17147,SPOT US,-2800,0,-2800,SELL
S-17147,ZM US,-1000,0,-1000,SELL
P-36182,ZM US,-1200,0,-1200,SELL
S-17147,CWEN/A US,9200,0,9200,BUY
P-47227,CWEN/A US,7500,0,7500,BUY
S-17147,BURL US,-1800,0,-1800,SELL
S-17147,VIK US,6400,0,6400,BUY
P-36182,VIK US,21800,0,21800,BUY
S-17147,KEYS US,-2400,0,-2400,SELL
S-17147,CNH US,-6000,0,-6000,SELL
S-17147,ESI US,600,0,600,BUY
P-36182,ESI US,5800,0,5800,BUY
S-17147,KHC US,-25600,-11800,-13800,SELL
S-17147,RDDT US,4600,0,4600,BUY
P-36182,RDDT US,12800,1000,11800,BUY
S-17147,AAL US,2600,0,2600,BUY
S-17147,AXTA US,8000,0,8000,BUY
P-36182,AXTA US,3400,0,3400,BUY
S-17147,SYF US,-10400,0,-10400,SELL
S-17147,MEDP US,-1000,0,-1000,SELL
S-17147,ARES US,-1200,0,-1200,SELL
S-17147,LBRDK US,-2000,0,-2000,SELL
P-36182,LBRDK US,-2400,0,-2400,SELL
S-17147,VKTX US,-5000,-4000,-1000,SELL
S-17147,FNF US,-1600,0,-1600,SELL
S-17147,CFG US,-9400,-2400,-7000,SELL
S-17147,LITE US,2800,0,2800,BUY
S-17147,RIVN US,153400,0,153400,BUY
P-36182,RIVN US,7200,0,7200,BUY
S-17147,CZR US,-11000,0,-11000,SELL
S-17147,QSR US,30200,0,30200,BUY
P-36182,QSR US,27400,0,27400,BUY
S-17147,PYPL US,-14000,0,-14000,SELL
S-17147,BLD US,-1200,0,-1200,SELL
S-17147,HPE US,5600,0,5600,BUY
P-47227,HPE US,8500,0,8500,BUY
P-36182,HPE US,4400,0,4400,BUY
S-17147,FND US,5400,0,5400,BUY
P-36182,FND US,1600,0,1600,BUY
S-17147,CFLT US,-8200,0,-8200,SELL
S-17147,QRVO US,4000,0,4000,BUY
S-17147,RVMD US,7400,0,7400,BUY
P-36182,RVMD US,2600,0,2600,BUY
S-17147,RBRK US,3800,0,3800,BUY
P-36182,RBRK US,10000,0,10000,BUY
S-17147,CWEN US,11400,0,11400,BUY
S-17147,WING US,-1600,0,-1600,SELL
P-47227,WING US,-1000,0,-1000,SELL
S-17147,HOOD US,-51800,0,-51800,SELL
S-17147,MNST US,-25200,0,-25200,SELL
S-17147,IOT US,11400,0,11400,BUY
P-36182,IOT US,11400,0,11400,BUY
S-17147,ACI US,-8400,0,-8400,SELL
S-17147,Z US,13000,0,13000,BUY
P-36182,Z US,1200,0,1200,BUY
S-17147,GOOGL US,124400,0,124400,BUY
P-36182,GOOGL US,2200,0,2200,BUY
S-17147,GOOG US,85000,0,85000,BUY
P-36182,GOOG US,2000,0,2000,BUY
S-17147,PFGC US,2400,0,2400,BUY
S-17147,AA US,-5200,0,-5200,SELL
S-17147,FTV US,8200,0,8200,BUY
P-47227,FTV US,30000,0,30000,BUY
P-36182,FTV US,7400,0,7400,BUY
S-17147,DD US,13400,0,13400,BUY
P-36182,DD US,1400,0,1400,BUY
S-17147,CTVA US,22800,0,22800,BUY
S-17147,TOST US,-15000,0,-15000,SELL
S-17147,USFD US,14000,0,14000,BUY
S-17147,ITT US,-1200,0,-1200,SELL
S-17147,ASH US,-800,0,-800,SELL
S-17147,KNSL US,-1400,0,-1400,SELL
P-47227,KNSL US,-500,0,-500,SELL
P-36182,KNSL US,-400,0,-400,SELL
S-17147,DELL US,600,0,600,BUY
P-36182,DELL US,1000,0,1000,BUY
S-17147,VST US,-1000,0,-1000,SELL
P-47227,DXC US,14500,1600,12900,BUY
S-17147,BJ US,-6000,0,-6000,SELL
P-36182,BJ US,-1200,0,-1200,SELL
P-47227,INVH US,7000,4200,2800,BUY
S-17147,ULTA US,-2200,0,-2200,SELL
P-47227,ULTA US,-500,0,-500,SELL
S-17147,HLNE US,3400,0,3400,BUY
S-17147,AVTR US,46800,0,46800,BUY
P-36182,AVTR US,8000,0,8000,BUY
S-17147,CAVA US,600,0,600,BUY
P-36182,CAVA US,2200,0,2200,BUY
S-17147,BKR US,35000,15000,20000,BUY
P-36182,BKR US,28400,0,28400,BUY
S-17147,NVT US,-1600,0,-1600,SELL
S-17147,JHG US,18400,0,18400,BUY
P-36182,JHG US,2400,0,2400,BUY
S-17147,EVRG US,-600,0,-600,SELL
S-17147,WH US,-2200,0,-2200,SELL
S-17147,VICI US,83600,0,83600,BUY
P-36182,VICI US,3200,0,3200,BUY
S-17147,EQH US,-4000,0,-4000,SELL
S-17147,GTES US,6600,0,6600,BUY
P-36182,GTES US,4000,0,4000,BUY
P-47227,ST US,6500,2000,4500,BUY
P-36182,ST US,3200,0,3200,BUY
S-17147,CART US,400,0,400,BUY
S-17147,AVGO US,-1800,-1600,-200,SELL
S-17147,CI US,-3200,0,-3200,SELL
P-36182,CI US,-400,0,-400,SELL
P-47227,ELAN US,11000,5200,5800,BUY
P-36182,ELAN US,5800,0,5800,BUY
S-17147,AMCR US,-29200,0,-29200,SELL
S-17147,ONON US,9200,0,9200,BUY
P-36182,ONON US,22800,0,22800,BUY
S-17147,ESTC US,-1200,0,-1200,SELL
P-47227,ESTC US,-2500,0,-2500,SELL
S-17147,STE US,-600,0,-600,SELL
P-47227,STE US,-1000,0,-1000,SELL
P-36182,STE US,-600,0,-600,SELL
S-17147,TW US,-1400,0,-1400,SELL
S-17147,CHWY US,7000,0,7000,BUY
P-36182,CHWY US,15000,0,15000,BUY
S-17147,XP US,-38200,0,-38200,SELL
S-17147,WFRD US,-400,0,-400,SELL
P-47227,WFRD US,-15000,0,-15000,SELL
P-36182,WFRD US,-28000,0,-28000,SELL
S-17147,CARR US,-3400,0,-3400,SELL
S-17147,OTIS US,-5000,0,-5000,SELL
S-17147,VNT US,6600,0,6600,BUY
P-47227,VNT US,5000,0,5000,BUY
P-36182,VNT US,2400,0,2400,BUY
S-17147,AON US,-2000,0,-2000,SELL
S-17147,ALAB US,3800,0,3800,BUY
P-36182,ALAB US,3200,0,3200,BUY
S-17147,MTCH US,15600,0,15600,BUY
P-47227,MTCH US,5500,0,5500,BUY
P-36182,MTCH US,5400,0,5400,BUY
S-17147,OWL US,-45800,-5400,-40400,SELL
P-47227,VTRS US,20000,11200,8800,BUY
S-17147,SOFI US,-55600,-34500,-21100,SELL
S-17147,GXO US,-3000,0,-3000,SELL
S-17147,EXE US,13800,8000,5800,BUY
S-17147,AUR US,41600,0,41600,BUY
P-36182,AUR US,103200,0,103200,BUY
S-17147,APO US,35000,0,35000,BUY
S-17147,FYBR US,-10800,-2600,-8200,SELL
S-17147,WBD US,-19200,0,-19200,SELL
S-17147,RYAN US,-6200,0,-6200,SELL
