cross_id,security,quantity_crossed,buyer_portfolio,seller_portfolio,buyer_original_quantity,seller_original_quantity
7507c3c8-c641-43a1-ba36-88a175cbdb47,DKS US,1800,P-47227,S-17147,3000,-1800
2e392b00-5287-44ae-941f-8162b1f15fe3,DKS US,1200,P-47227,P-61230,3000,-3059
a4b2bc41-070f-42a8-ab34-225655fcd22a,RF US,3800,P-36182,S-17147,3800,-16800
e7f5c662-6044-426e-a00e-9af4880ec2ca,LVS US,2000,P-36182,S-17147,2000,-40800
943b96f8-7349-4cf4-a8ca-48a67f614913,CPAY US,400,S-17147,P-36182,800,-400
f0cb9580-7d27-45be-ab88-da6a02be23e4,MA US,200,P-36182,S-17147,200,-9000
68d12ffc-33fb-47d2-9b83-053be8c48386,TNL US,2600,P-47227,S-17147,3500,-2600
643e68cc-4cb4-4f05-8213-8d4056da5057,CELH US,4000,P-47227,S-17147,4000,-5000
56cb5bcb-85e1-4654-a636-6e02c096bf7a,META US,600,P-36182,S-17147,600,-5800
2c5e6de4-7b37-476a-aee8-b3ecc0fc029d,PODD US,400,S-17147,P-36182,1000,-400
7b99b313-6a5c-4179-8c78-64eff8a232c2,PODD US,600,S-17147,P-47227,1000,-1000
5f727d1f-7660-417e-a9a4-26a5fa3fa608,BR US,1000,S-17147,P-47227,12800,-1000
0a1e591a-b4c0-489e-8465-a2acd1fd4c0f,G US,2400,P-36182,S-17147,2400,-2600
1084c107-66ec-40b7-86bd-6e033cd45bb6,AWK US,1500,S-17147,P-47227,63200,-1500
45f416c4-5c1c-4273-95ea-d0b19fa65437,STWD US,12800,P-47227,S-17147,15000,-12800
8698aafc-a0bd-4dd3-bcf8-2ac21060dfad,STWD US,2200,P-47227,P-36182,15000,-5000
2bf29415-105c-4748-9e03-f18b94875a94,ANET US,5000,P-93050,S-17147,5000,-20600
f6c3a211-3f8a-449e-9079-3ec80150fc18,ANET US,800,P-36182,S-17147,800,-20600
3d4a5d5c-8d7d-4dfb-b489-69d1df2669ad,HUBS US,500,S-17147,P-47227,3200,-500
5585572d-524a-4d61-b652-4ccdad17a82f,GM US,2400,S-17147,P-36182,2400,-11000
26fe917a-7fd7-412d-9985-3b18b9ec666e,XYZ US,1400,P-36182,S-17147,1400,-6400
088ccb43-5017-43d2-97bc-e4ff04884b15,NTRA US,600,S-17147,P-36182,1600,-600
b62f61f1-492b-4d4a-8119-d50678d2bc7e,CDW US,1500,S-17147,P-47227,6200,-1500
51dad34c-8411-4f10-92ce-9d1144596bfd,MDB US,1000,S-17147,P-47227,5000,-1000
0f41d7c7-f413-4175-8d2f-7271df7cc048,ABBV US,600,P-36182,S-17147,600,-15800
50345508-3ccb-4e30-b3e3-c3e5c4e31aad,UBER US,1200,P-36182,S-17147,1200,-35800
0031da1b-ea33-44f3-a5f4-9c451d5df7cf,TRU US,1200,P-36182,S-17147,1200,-2000
923f9876-9367-488b-87bd-f3bde6bbd83f,AMH US,3000,P-36182,S-17147,3000,-7100
8d5f7381-0b6f-4e05-8e7b-021881456bc1,KHC US,8000,P-47227,S-17147,8000,-25600
9678225d-cc6f-4311-afda-baf633458370,KHC US,3800,P-36182,S-17147,3800,-25600
acb9818d-acb4-4c28-8d8a-45bba8ad56c2,RDDT US,1000,P-36182,P-47227,12800,-1000
118fbcd9-8329-468c-867d-87e23bbd00c1,VKTX US,4000,P-36182,S-17147,4000,-5000
